,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
SCCPDH,0,0.300222704,0.46,0.168,0,0,SCCPDH
MPO,0,0.299391634,0.544,0.397,0,0,MPO
MPG,0,0.298552067,0.533,0.278,0,0,MPG
CCND2,0,0.293214113,0.531,0.265,0,0,CCND2
RAB37,0,0.290982308,0.467,0.189,0,0,RAB37
NREP,0,0.289116357,0.445,0.155,0,0,NREP
HMGN1,0,0.288831861,0.976,0.825,0,0,HMGN1
IL18,0,0.288234813,0.473,0.202,0,0,IL18
ANKRD28,0,0.287844754,0.903,0.677,0,0,ANKRD28
CD7,0,0.285585945,0.473,0.238,0,0,CD7
AC002454.1,0,0.284801074,0.26,0.052,0,0,AC002454.1
HNRNPAB,0,0.283727916,0.762,0.533,0,0,HNRNPAB
SLC39A3,0,0.283344027,0.426,0.156,0,0,SLC39A3
HSP90AB1,0,0.281268116,0.983,0.926,0,0,HSP90AB1
CTSW,0,0.279764824,0.501,0.302,0,0,CTSW
IDH2,0,0.27876992,0.525,0.247,0,0,IDH2
LAPTM4A,0,0.277800068,0.758,0.542,0,0,LAPTM4A
LTC4S,0,0.277222999,0.395,0.141,0,0,LTC4S
HIST1H2AC,0,0.27640708,0.481,0.231,0,0,HIST1H2AC
HOPX,0,0.274998696,0.383,0.192,0,0,HOPX
CDK2AP1,0,0.273345287,0.487,0.211,0,0,CDK2AP1
ZNF22,0,0.272835198,0.481,0.202,0,0,ZNF22
ITGA4,0,0.272031069,0.76,0.582,0,0,ITGA4
NME4,0,0.271978169,0.488,0.209,0,0,NME4
GLUL,0,0.271906827,0.828,0.612,0,0,GLUL
SSBP2,0,0.271105923,0.433,0.164,0,0,SSBP2
HLA-DPB1,0,0.269780121,0.796,0.687,0,0,HLA-DPB1
MEST,0,0.269237111,0.303,0.067,0,0,MEST
SINHCAF,0,0.267265532,0.497,0.225,0,0,SINHCAF
PNN,0,0.266063519,0.891,0.705,0,0,PNN
ZNRF1,0,0.262621939,0.375,0.113,0,0,ZNRF1
EMID1,0,0.261706176,0.312,0.058,0,0,EMID1
MTURN,0,0.261659243,0.39,0.14,0,0,MTURN
ZFAS1,0,0.260467912,0.994,0.952,0,0,ZFAS1
TAF1D,0,0.260434509,0.858,0.661,0,0,TAF1D
CCT2,0,0.260301523,0.607,0.359,0,0,CCT2
BCL11A,0,0.260157332,0.412,0.193,0,0,BCL11A
HLA-DRB1,0,0.260047307,0.811,0.701,0,0,HLA-DRB1
DDX3Y,0,0.259619362,0.41,0.212,0,0,DDX3Y
TM7SF3,0,0.259084801,0.408,0.161,0,0,TM7SF3
GSTP1,0,0.258922226,0.958,0.864,0,0,GSTP1
PEBP1,0,0.25511644,0.794,0.576,0,0,PEBP1
MGLL,0,0.254923401,0.329,0.075,0,0,MGLL
ETV6,0,0.254331397,0.531,0.273,0,0,ETV6
MAP3K8,0,0.252051053,0.697,0.568,0,0,MAP3K8
ARHGEF6,0,0.252018212,0.436,0.208,0,0,ARHGEF6
NBDY,0,0.251780954,0.512,0.248,0,0,NBDY
NPM1,0,0.25076872,0.988,0.945,0,0,NPM1
SERPINB6,0,0.250348242,0.605,0.36,0,0,SERPINB6
S100A8,0,1.534540694,0.96,0.462,0,1,S100A8
S100A9,0,1.482309349,0.97,0.536,0,1,S100A9
LYZ,0,1.329192209,0.992,0.628,0,1,LYZ
VCAN,0,1.308912126,0.813,0.161,0,1,VCAN
FCN1,0,1.235728765,0.801,0.179,0,1,FCN1
IFI30,0,1.212144614,0.897,0.253,0,1,IFI30
S100A12,0,1.189529877,0.722,0.058,0,1,S100A12
CTSS,0,1.129161377,0.958,0.594,0,1,CTSS
G0S2,0,1.069034839,0.604,0.09,0,1,G0S2
MNDA,0,1.06341622,0.846,0.219,0,1,MNDA
FCER1G,0,1.040491888,0.94,0.404,0,1,FCER1G
SERPINA1,0,1.03980295,0.727,0.066,0,1,SERPINA1
CYBB,0,1.039366675,0.761,0.06,0,1,CYBB
IL1B,0,1.019605837,0.731,0.297,0,1,IL1B
MARCKS,0,0.989861127,0.803,0.269,0,1,MARCKS
NAMPT,0,0.9877879,0.907,0.414,0,1,NAMPT
S100A11,0,0.985938521,0.972,0.552,0,1,S100A11
MAFB,0,0.980592642,0.661,0.052,0,1,MAFB
PSAP,0,0.979799162,0.94,0.52,0,1,PSAP
C5AR1,0,0.978592285,0.661,0.041,0,1,C5AR1
CD14,0,0.96852142,0.676,0.04,0,1,CD14
FGL2,0,0.95765585,0.728,0.07,0,1,FGL2
LGALS3,0,0.954301162,0.77,0.111,0,1,LGALS3
CST3,0,0.949870375,0.99,0.599,0,1,CST3
BCL2A1,0,0.930939064,0.718,0.135,0,1,BCL2A1
PLAUR,0,0.921148149,0.801,0.251,0,1,PLAUR
IER3,0,0.917842561,0.716,0.207,0,1,IER3
NCF1,0,0.911380268,0.736,0.136,0,1,NCF1
TYMP,0,0.905197656,0.841,0.273,0,1,TYMP
CCL3,0,0.903255712,0.733,0.294,0,1,CCL3
CD68,0,0.892319615,0.772,0.104,0,1,CD68
MS4A6A,0,0.887403634,0.757,0.096,0,1,MS4A6A
CSTA,0,0.883417861,0.852,0.266,0,1,CSTA
GRN,0,0.879031024,0.852,0.303,0,1,GRN
CXCL8,0,0.877706129,0.903,0.603,0,1,CXCL8
NCF2,0,0.868858212,0.738,0.059,0,1,NCF2
SGK1,0,0.84126837,0.729,0.204,0,1,SGK1
KLF4,0,0.839544698,0.802,0.226,0,1,KLF4
CLEC7A,0,0.832160512,0.679,0.059,0,1,CLEC7A
EREG,0,0.831243217,0.58,0.198,0,1,EREG
SOD2,0,0.828820662,0.929,0.614,0,1,SOD2
DUSP6,0,0.819465569,0.783,0.332,0,1,DUSP6
MPEG1,0,0.810880107,0.679,0.045,0,1,MPEG1
ATP2B1-AS1,0,0.799143844,0.95,0.571,0,1,ATP2B1-AS1
LST1,0,0.79823572,0.973,0.593,0,1,LST1
RETN,0,0.796930721,0.581,0.061,0,1,RETN
LGALS2,0,0.79660381,0.573,0.049,0,1,LGALS2
IGSF6,0,0.79031859,0.656,0.047,0,1,IGSF6
NFKBIZ,0,0.788465428,0.9,0.494,0,1,NFKBIZ
TYROBP,0,0.785441619,0.992,0.727,0,1,TYROBP
STX11,0,0.785181506,0.728,0.119,0,1,STX11
ANXA5,0,0.784945961,0.727,0.141,0,1,ANXA5
ANXA2,0,0.782563078,0.838,0.313,0,1,ANXA2
S100A6,0,0.773633895,0.997,0.836,0,1,S100A6
CCL3L1,0,0.769777508,0.655,0.273,0,1,CCL3L1
CEBPD,0,0.761743645,0.903,0.448,0,1,CEBPD
COTL1,0,0.75071442,0.941,0.566,0,1,COTL1
CFD,0,0.742787456,0.944,0.485,0,1,CFD
THBS1,0,0.738323969,0.405,0.042,0,1,THBS1
SLC11A1,0,0.738258822,0.629,0.053,0,1,SLC11A1
TREM1,0,0.731812559,0.639,0.059,0,1,TREM1
AP1S2,0,0.728370657,0.825,0.383,0,1,AP1S2
FPR1,0,0.727518705,0.589,0.022,0,1,FPR1
STXBP2,0,0.725539775,0.707,0.197,0,1,STXBP2
BRI3,0,0.723499843,0.93,0.585,0,1,BRI3
TSPO,0,0.717851246,0.957,0.634,0,1,TSPO
CD36,0,0.71736935,0.619,0.077,0,1,CD36
CD83,0,0.707625709,0.725,0.227,0,1,CD83
FCGRT,0,0.707187737,0.73,0.163,0,1,FCGRT
CTSZ,0,0.706156612,0.752,0.219,0,1,CTSZ
CTSB,0,0.700543166,0.713,0.148,0,1,CTSB
TRIB1,0,0.695281414,0.716,0.184,0,1,TRIB1
CLEC12A,0,0.693540171,0.72,0.185,0,1,CLEC12A
SAMHD1,0,0.691529609,0.795,0.312,0,1,SAMHD1
S100A10,0,0.679699399,0.967,0.698,0,1,S100A10
TMEM176B,0,0.678394639,0.55,0.043,0,1,TMEM176B
LUCAT1,0,0.673661611,0.474,0.036,0,1,LUCAT1
MS4A7,0,0.670804726,0.596,0.066,0,1,MS4A7
ZEB2,0,0.669738639,0.955,0.633,0,1,ZEB2
TNFRSF1B,0,0.668651843,0.668,0.138,0,1,TNFRSF1B
TNFSF13B,0,0.662147668,0.691,0.155,0,1,TNFSF13B
PLBD1,0,0.657152072,0.501,0.021,0,1,PLBD1
CXCL2,0,0.655529584,0.505,0.168,0,1,CXCL2
CEBPB,0,0.655452095,0.829,0.447,0,1,CEBPB
TNFAIP2,0,0.654273101,0.67,0.122,0,1,TNFAIP2
PLEK,0,0.653114655,0.944,0.618,0,1,PLEK
FGR,0,0.651321235,0.656,0.078,0,1,FGR
FCGR2A,0,0.649472833,0.581,0.05,0,1,FCGR2A
SAT1,0,0.647585719,0.994,0.849,0,1,SAT1
ADA2,0,0.647403838,0.608,0.069,0,1,ADA2
PTPRE,0,0.647010813,0.788,0.341,0,1,PTPRE
RAB31,0,0.645462312,0.616,0.067,0,1,RAB31
CAST,0,0.64119777,0.838,0.436,0,1,CAST
ITGB2,0,0.640016426,0.941,0.606,0,1,ITGB2
CPVL,0,0.635796687,0.572,0.058,0,1,CPVL
NLRP3,0,0.634731482,0.586,0.104,0,1,NLRP3
EVI2B,0,0.634399962,0.875,0.509,0,1,EVI2B
AHR,0,0.633786159,0.705,0.309,0,1,AHR
DMXL2,0,0.632352027,0.618,0.098,0,1,DMXL2
SCPEP1,0,0.631588641,0.638,0.096,0,1,SCPEP1
VSIR,0,0.627488071,0.784,0.324,0,1,VSIR
LILRB2,0,0.626466005,0.591,0.06,0,1,LILRB2
LGALS1,0,0.626372978,0.987,0.718,0,1,LGALS1
C1orf162,0,0.625800316,0.785,0.326,0,1,C1orf162
CD302,0,0.622797946,0.77,0.338,0,1,CD302
CTSD,0,0.614608736,0.865,0.55,0,1,CTSD
APLP2,0,0.61230733,0.888,0.56,0,1,APLP2
PILRA,0,0.610988799,0.581,0.035,0,1,PILRA
CFP,0,0.608986677,0.665,0.149,0,1,CFP
ZFP36L1,0,0.607919744,0.583,0.215,0,1,ZFP36L1
MEGF9,0,0.601799335,0.534,0.064,0,1,MEGF9
CTSH,0,0.601765541,0.581,0.062,0,1,CTSH
LRRK2,0,0.600395137,0.476,0.026,0,1,LRRK2
RGS2,0,0.599959711,0.749,0.392,0,1,RGS2
GPCPD1,0,0.598496874,0.675,0.201,0,1,GPCPD1
LILRB3,0,0.592801883,0.559,0.042,0,1,LILRB3
NINJ1,0,0.592170243,0.618,0.122,0,1,NINJ1
LYST,0,0.589165733,0.709,0.21,0,1,LYST
APOBEC3A,0,0.58699522,0.436,0.025,0,1,APOBEC3A
PTGS2,0,0.586880529,0.453,0.115,0,1,PTGS2
KCTD12,0,0.586387533,0.536,0.038,0,1,KCTD12
CDA,0,0.584207503,0.53,0.023,0,1,CDA
CDC42EP3,0,0.584186894,0.615,0.145,0,1,CDC42EP3
SULT1A1,0,0.579207384,0.567,0.103,0,1,SULT1A1
NPC2,0,0.578104313,0.867,0.547,0,1,NPC2
SPI1,0,0.577515465,0.831,0.406,0,1,SPI1
ASAH1,0,0.576159224,0.893,0.56,0,1,ASAH1
OTUD1,0,0.572688173,0.591,0.134,0,1,OTUD1
SRGN,0,0.572212467,1,0.918,0,1,SRGN
TMEM170B,0,0.570645534,0.535,0.05,0,1,TMEM170B
SNX10,0,0.56774024,0.584,0.095,0,1,SNX10
PHACTR1,0,0.567152252,0.606,0.193,0,1,PHACTR1
S100A4,0,0.560662156,0.996,0.908,0,1,S100A4
ZFAND5,0,0.560460939,0.883,0.564,0,1,ZFAND5
IRS2,0,0.557925808,0.644,0.211,0,1,IRS2
CD93,0,0.554369829,0.491,0.036,0,1,CD93
CDKN1A,0,0.552067393,0.541,0.136,0,1,CDKN1A
BST1,0,0.551411858,0.518,0.049,0,1,BST1
JAML,0,0.548104469,0.541,0.058,0,1,JAML
AIF1,0,0.54675583,0.99,0.807,0,1,AIF1
TMEM176A,0,0.546524015,0.459,0.03,0,1,TMEM176A
BCL6,0,0.545034069,0.543,0.081,0,1,BCL6
CARD16,0,0.543255641,0.67,0.241,0,1,CARD16
GABARAPL1,0,0.542949122,0.661,0.217,0,1,GABARAPL1
IRAK3,0,0.542004934,0.616,0.165,0,1,IRAK3
RBP7,0,0.538079866,0.4,0.01,0,1,RBP7
IFNGR2,0,0.536702098,0.592,0.113,0,1,IFNGR2
AGTRAP,0,0.53106086,0.631,0.162,0,1,AGTRAP
THEMIS2,0,0.52885967,0.61,0.118,0,1,THEMIS2
AKIRIN2,0,0.527223633,0.675,0.258,0,1,AKIRIN2
EFHD2,0,0.527151846,0.85,0.476,0,1,EFHD2
OGFRL1,0,0.525727679,0.576,0.118,0,1,OGFRL1
NEAT1,0,0.525311715,0.996,0.935,0,1,NEAT1
LYN,0,0.519270931,0.745,0.367,0,1,LYN
LCP1,0,0.518970178,0.96,0.759,0,1,LCP1
TLR2,0,0.518437199,0.502,0.051,0,1,TLR2
CSF3R,0,0.518275725,0.741,0.372,0,1,CSF3R
NFKBIA,0,0.517452404,0.992,0.914,0,1,NFKBIA
C19orf38,0,0.515764903,0.517,0.042,0,1,C19orf38
CKAP4,0,0.514007353,0.446,0.032,0,1,CKAP4
ZFP36,0,0.510026938,0.992,0.824,0,1,ZFP36
RAB11FIP1,0,0.507009259,0.771,0.423,0,1,RAB11FIP1
ARRB2,0,0.506717783,0.721,0.309,0,1,ARRB2
GLRX,0,0.50563428,0.645,0.222,0,1,GLRX
CPPED1,0,0.504539304,0.549,0.091,0,1,CPPED1
PPIF,0,0.504017038,0.579,0.195,0,1,PPIF
IQGAP1,0,0.501903983,0.952,0.694,0,1,IQGAP1
CD300E,0,0.500974752,0.43,0.027,0,1,CD300E
EVI2A,0,0.500963932,0.587,0.164,0,1,EVI2A
ACSL1,0,0.500367771,0.502,0.07,0,1,ACSL1
HCK,0,0.500231276,0.543,0.081,0,1,HCK
AHNAK,0,0.494296265,0.906,0.634,0,1,AHNAK
SLC7A7,0,0.492086163,0.464,0.018,0,1,SLC7A7
CYP1B1,0,0.491300578,0.352,0.009,0,1,CYP1B1
AC020656.1,0,0.487418152,0.468,0.047,0,1,AC020656.1
GLIPR2,0,0.486554391,0.606,0.169,0,1,GLIPR2
SDCBP,0,0.48479086,0.775,0.439,0,1,SDCBP
PTAFR,0,0.484315291,0.472,0.037,0,1,PTAFR
CCR1,0,0.484313553,0.425,0.017,0,1,CCR1
UBE2D1,0,0.481807549,0.541,0.113,0,1,UBE2D1
MYO1F,0,0.481355361,0.689,0.245,0,1,MYO1F
TKT,0,0.480503069,0.959,0.754,0,1,TKT
KDM6B,0,0.480353968,0.593,0.198,0,1,KDM6B
SMIM25,0,0.477487987,0.428,0.019,0,1,SMIM25
LY86,0,0.477067644,0.567,0.125,0,1,LY86
BLVRB,0,0.476754642,0.682,0.264,0,1,BLVRB
IL17RA,0,0.4754323,0.547,0.107,0,1,IL17RA
ITGAX,0,0.475103138,0.518,0.088,0,1,ITGAX
CASP1,0,0.474911629,0.557,0.128,0,1,CASP1
NUP214,0,0.474830101,0.618,0.192,0,1,NUP214
FCAR,0,0.472108612,0.402,0.009,0,1,FCAR
POU2F2,0,0.471752353,0.537,0.148,0,1,POU2F2
TIMP2,0,0.469878764,0.593,0.157,0,1,TIMP2
GABARAP,0,0.469422317,0.981,0.857,0,1,GABARAP
PLXDC2,0,0.466788781,0.524,0.111,0,1,PLXDC2
ZNF385A,0,0.466358169,0.494,0.057,0,1,ZNF385A
EAF1,0,0.465933783,0.488,0.088,0,1,EAF1
RNASE2,0,0.46565804,0.488,0.123,0,1,RNASE2
TLR4,0,0.465544924,0.451,0.033,0,1,TLR4
TAGAP,0,0.464641462,0.608,0.228,0,1,TAGAP
FBXL5,0,0.46437645,0.572,0.163,0,1,FBXL5
PECAM1,0,0.464075336,0.554,0.148,0,1,PECAM1
MXD1,0,0.463289934,0.716,0.389,0,1,MXD1
ALOX5AP,0,0.462582552,0.479,0.14,0,1,ALOX5AP
IL1RN,0,0.461768483,0.386,0.025,0,1,IL1RN
SLC2A3,0,0.461710261,0.702,0.435,0,1,SLC2A3
1-Mar,0,0.461417516,0.464,0.044,0,1,1-Mar
ANXA1,0,0.459465921,0.987,0.824,0,1,ANXA1
HBEGF,0,0.457849122,0.413,0.056,0,1,HBEGF
CD55,0,0.455956298,0.699,0.364,0,1,CD55
GAS7,0,0.448864039,0.5,0.082,0,1,GAS7
HLA-DRA,0,0.445599823,0.984,0.769,0,1,HLA-DRA
IFNGR1,0,0.44524684,0.573,0.162,0,1,IFNGR1
MAP3K2,0,0.445090038,0.609,0.253,0,1,MAP3K2
ALDH2,0,0.444713168,0.484,0.103,0,1,ALDH2
BASP1,0,0.443272476,0.45,0.087,0,1,BASP1
GPR183,0,0.443053235,0.635,0.41,0,1,GPR183
ATP6V0D1,0,0.441962613,0.597,0.188,0,1,ATP6V0D1
SAMSN1,0,0.441766373,0.58,0.215,0,1,SAMSN1
LRP1,0,0.441648392,0.426,0.019,0,1,LRP1
NFIL3,0,0.440392392,0.649,0.273,0,1,NFIL3
TPP1,0,0.440172223,0.599,0.208,0,1,TPP1
WARS,0,0.439576103,0.47,0.077,0,1,WARS
SHTN1,0,0.438994116,0.397,0.025,0,1,SHTN1
LTA4H,0,0.434759877,0.538,0.171,0,1,LTA4H
LAPTM5,0,0.434572238,0.976,0.837,0,1,LAPTM5
ARPC1B,0,0.434550124,0.972,0.84,0,1,ARPC1B
GASK1B,0,0.43427969,0.398,0.02,0,1,GASK1B
UPP1,0,0.434043184,0.546,0.137,0,1,UPP1
RBM47,0,0.433523859,0.433,0.025,0,1,RBM47
AC020916.1,0,0.432824765,0.962,0.787,0,1,AC020916.1
AGFG1,0,0.432741761,0.513,0.134,0,1,AGFG1
SLC43A2,0,0.432255555,0.438,0.043,0,1,SLC43A2
USP3,0,0.432000531,0.608,0.223,0,1,USP3
PGD,0,0.428343621,0.59,0.22,0,1,PGD
CSTB,0,0.428115996,0.731,0.414,0,1,CSTB
SLC24A4,0,0.427872935,0.402,0.024,0,1,SLC24A4
ITGAM,0,0.427500966,0.452,0.054,0,1,ITGAM
GNS,0,0.425751714,0.452,0.058,0,1,GNS
MBD2,0,0.425003591,0.604,0.24,0,1,MBD2
SLC15A3,0,0.423873555,0.423,0.022,0,1,SLC15A3
ATP2B1,0,0.423417467,0.72,0.42,0,1,ATP2B1
ZBTB43,0,0.419737881,0.527,0.189,0,1,ZBTB43
CD4,0,0.419552252,0.461,0.069,0,1,CD4
LILRA5,0,0.419114057,0.398,0.014,0,1,LILRA5
BACH1,0,0.418429303,0.56,0.207,0,1,BACH1
SCO2,0,0.417822399,0.472,0.089,0,1,SCO2
C9orf72,0,0.417340105,0.476,0.083,0,1,C9orf72
PLK3,0,0.417045487,0.54,0.166,0,1,PLK3
RASGEF1B,0,0.416996939,0.55,0.205,0,1,RASGEF1B
AOAH,0,0.416057483,0.477,0.08,0,1,AOAH
QKI,0,0.4154747,0.696,0.374,0,1,QKI
IL10RA,0,0.414941914,0.528,0.138,0,1,IL10RA
DPYSL2,0,0.414815359,0.465,0.087,0,1,DPYSL2
CSGALNACT2,0,0.413965447,0.587,0.24,0,1,CSGALNACT2
SKAP2,0,0.41332864,0.602,0.252,0,1,SKAP2
TMEM167A,0,0.412631259,0.61,0.242,0,1,TMEM167A
LY96,0,0.412344652,0.43,0.04,0,1,LY96
ARHGAP26,0,0.411868762,0.499,0.113,0,1,ARHGAP26
RNF149,0,0.410248223,0.523,0.163,0,1,RNF149
CLEC4E,0,0.410189414,0.359,0.013,0,1,CLEC4E
CTNNB1,0,0.410164784,0.738,0.454,0,1,CTNNB1
C4orf48,0,0.409219203,0.659,0.273,0,1,C4orf48
KLF10,0,0.408907262,0.628,0.32,0,1,KLF10
PKM,0,0.408053091,0.789,0.499,0,1,PKM
DPYD,0,0.407694042,0.477,0.101,0,1,DPYD
PPT1,0,0.406418316,0.533,0.158,0,1,PPT1
PPP1R15B,0,0.405416926,0.63,0.289,0,1,PPP1R15B
ADAM17,0,0.405029367,0.542,0.182,0,1,ADAM17
AQP9,0,0.40414982,0.337,0.01,0,1,AQP9
ARPC5,0,0.404020829,0.901,0.694,0,1,ARPC5
TNFAIP3,0,0.403761389,0.886,0.651,0,1,TNFAIP3
LACTB,0,0.403424299,0.49,0.112,0,1,LACTB
EMILIN2,0,0.403380108,0.487,0.096,0,1,EMILIN2
LDLR,0,0.397008484,0.458,0.119,0,1,LDLR
TNFSF13,0,0.396279269,0.49,0.109,0,1,TNFSF13
PYCARD,0,0.396099909,0.845,0.591,0,1,PYCARD
CSRNP1,0,0.394409567,0.623,0.283,0,1,CSRNP1
SLC31A2,0,0.394144666,0.462,0.096,0,1,SLC31A2
PLEC,0,0.393677282,0.489,0.11,0,1,PLEC
GNAI2,0,0.392433853,0.935,0.772,0,1,GNAI2
EMP3,0,0.39070765,0.981,0.816,0,1,EMP3
REEP5,0,0.390389424,0.557,0.188,0,1,REEP5
RNASE6,0,0.389949721,0.422,0.057,0,1,RNASE6
AC090559.1,0,0.389339626,0.469,0.114,0,1,AC090559.1
HIF1A,0,0.388951689,0.708,0.426,0,1,HIF1A
IFITM3,0,0.388900613,0.578,0.379,0,1,IFITM3
VEGFA,0,0.388602887,0.348,0.046,0,1,VEGFA
ZNF106,0,0.38670785,0.563,0.228,0,1,ZNF106
GCA,0,0.38559573,0.471,0.121,0,1,GCA
VMP1,0,0.38395205,0.779,0.504,0,1,VMP1
FOXO3,0,0.383670223,0.467,0.134,0,1,FOXO3
FTL,0,0.383440044,1,0.999,0,1,FTL
EIF4E,0,0.382531779,0.467,0.191,0,1,EIF4E
HERPUD1,0,0.381921027,0.666,0.366,0,1,HERPUD1
AC007952.4,0,0.38022427,0.561,0.247,0,1,AC007952.4
NAIP,0,0.378212571,0.463,0.112,0,1,NAIP
FLNA,0,0.377689709,0.78,0.503,0,1,FLNA
PNPLA8,0,0.37743495,0.539,0.226,0,1,PNPLA8
PLSCR1,0,0.377033162,0.48,0.134,0,1,PLSCR1
ATP6V0C,0,0.376673934,0.956,0.8,0,1,ATP6V0C
LINC00877,0,0.375268211,0.363,0.028,0,1,LINC00877
METTL9,0,0.374576213,0.67,0.415,0,1,METTL9
RIPK2,0,0.373908692,0.53,0.206,0,1,RIPK2
RXRA,0,0.373796134,0.423,0.059,0,1,RXRA
ZDHHC20,0,0.373547851,0.518,0.193,0,1,ZDHHC20
ID2,0,0.373312799,0.811,0.639,0,1,ID2
SULF2,0,0.372231335,0.392,0.043,0,1,SULF2
RAC1,0,0.371881634,0.912,0.711,0,1,RAC1
PICALM,0,0.371806214,0.548,0.194,0,1,PICALM
CD86,0,0.371041543,0.396,0.038,0,1,CD86
RNF130,0,0.370848542,0.789,0.508,0,1,RNF130
SYK,0,0.369766737,0.506,0.16,0,1,SYK
AC253572.2,0,0.36937594,0.528,0.273,0,1,AC253572.2
MFSD1,0,0.368377389,0.538,0.196,0,1,MFSD1
PGAM1,0,0.368281704,0.589,0.264,0,1,PGAM1
GRINA,0,0.36653916,0.465,0.111,0,1,GRINA
MCL1,0,0.36629534,0.992,0.865,0,1,MCL1
LCP2,0,0.365541376,0.54,0.233,0,1,LCP2
PTPRC,0,0.365516086,0.955,0.788,0,1,PTPRC
TET2,0,0.364522411,0.54,0.203,0,1,TET2
MAP3K1,0,0.363650246,0.489,0.15,0,1,MAP3K1
ASAP1,0,0.362635824,0.454,0.113,0,1,ASAP1
VASP,0,0.362436717,0.69,0.402,0,1,VASP
GLIPR1,0,0.361772801,0.805,0.547,0,1,GLIPR1
