"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009145","GO:0009145","purine nucleoside triphosphate biosynthetic process","15/292","118/18614",5.08716166913594e-10,8.56249632520881e-08,7.52223517724311e-08,"2023/4831/4718/521/517/516/51079/518/10632/522/4830/4715/506/9551/4717",15
"GO:0015980","GO:0015980","energy derivation by oxidation of organic compounds","24/292","337/18614",7.61026710745686e-10,1.21688171048235e-07,1.06904225841065e-07,"6622/847/402/1345/4718/1351/521/7388/1329/51142/51079/9377/1347/10632/522/27089/1337/4715/29796/7386/506/9551/4717/2109",24
"GO:0009201","GO:0009201","ribonucleoside triphosphate biosynthetic process","15/292","123/18614",9.19217161597623e-10,1.39983642037581e-07,1.2297697264682e-07,"2023/4831/4718/521/517/516/51079/518/10632/522/4830/4715/506/9551/4717",15
"GO:0015986","GO:0015986","proton motive force-driven ATP synthesis","12/292","76/18614",2.24810872056954e-09,3.2679325856279e-07,2.87091013167469e-07,"4718/521/517/516/51079/518/10632/522/4715/506/9551/4717",12
"GO:0009142","GO:0009142","nucleoside triphosphate biosynthetic process","15/292","134/18614",3.07088618605312e-09,4.26986696652082e-07,3.75111909866169e-07,"2023/4831/4718/521/517/516/51079/518/10632/522/4830/4715/506/9551/4717",15
"GO:1902600","GO:1902600","proton transmembrane transport","15/292","143/18614",7.56644558768133e-09,1.00822887455854e-06,8.85738740066731e-07,"1351/521/517/7388/1329/516/518/9377/10632/522/29796/81/7386/506/9551",15
"GO:0006754","GO:0006754","ATP biosynthetic process","13/292","106/18614",1.15384906311373e-08,1.47600372153508e-06,1.2966834313476e-06,"2023/4718/521/517/516/51079/518/10632/522/4715/506/9551/4717",13
"GO:0022900","GO:0022900","electron transport chain","16/292","177/18614",2.04185979954832e-08,2.51148755344444e-06,2.20636591295323e-06,"6622/1345/4718/1351/7388/1329/51142/9377/1347/27089/1337/4715/29796/7386/4717/2109",16
"GO:0009152","GO:0009152","purine ribonucleotide biosynthetic process","17/292","217/18614",6.14789767489517e-08,7.2818432460425e-06,6.39716915956928e-06,"2023/204/6622/4831/4718/521/517/516/51079/518/10632/522/4830/4715/506/9551/4717",17
"GO:0000387","GO:0000387","spliceosomal snRNP assembly","9/292","52/18614",1.03633221751509e-07,1.18363943986188e-05,1.03983860471721e-05,"6633/6636/6632/6635/6637/57819/6631/6628/10772",9
"GO:0009260","GO:0009260","ribonucleotide biosynthetic process","17/292","231/18614",1.52114919075961e-07,1.67746038346525e-05,1.47366504179216e-05,"2023/204/6622/4831/4718/521/517/516/51079/518/10632/522/4830/4715/506/9551/4717",17
"GO:0046390","GO:0046390","ribose phosphate biosynthetic process","17/292","238/18614",2.33198207333997e-07,2.48589289018041e-05,2.18388075569978e-05,"2023/204/6622/4831/4718/521/517/516/51079/518/10632/522/4830/4715/506/9551/4717",17
"GO:0042254","GO:0042254","ribosome biogenesis","19/292","298/18614",2.66400268615343e-07,2.74821954526408e-05,2.41433723916587e-05,"11224/6194/6175/6202/6229/3921/6201/6129/51065/4869/6209/5901/6218/2971/401466/6223/708/5036/51504",19
"GO:0042274","GO:0042274","ribosomal small subunit biogenesis","10/292","78/18614",3.80042078736721e-07,3.79804552437511e-05,3.33661943469839e-05,"6194/6202/6229/3921/6201/51065/4869/6209/6218/6223",10
"GO:0036260","GO:0036260","RNA capping","6/292","20/18614",4.5607154571484e-07,4.4197478884729e-05,3.88279092667594e-05,"6633/6636/6632/6635/6637/6628",6
"GO:0022618","GO:0022618","ribonucleoprotein complex assembly","16/292","231/18614",8.00573794751855e-07,7.53010292828363e-05,6.61526767242323e-05,"6175/3921/6633/6636/51065/23521/6209/6632/6635/6637/57819/6223/3326/6631/6628/10772",16
"GO:0006164","GO:0006164","purine nucleotide biosynthetic process","17/292","262/18614",9.00126587610994e-07,8.22458522051417e-05,7.22537702957517e-05,"2023/204/6622/4831/4718/521/517/516/51079/518/10632/522/4830/4715/506/9551/4717",17
"GO:0042776","GO:0042776","proton motive force-driven mitochondrial ATP synthesis","9/292","67/18614",9.80455168538335e-07,8.70971008051554e-05,7.65156387376847e-05,"4718/521/51079/10632/522/4715/506/9551/4717",9
"GO:0009165","GO:0009165","nucleotide biosynthetic process","18/292","295/18614",1.04544210687268e-06,9.03601042642927e-05,7.93822185844434e-05,"2023/204/6622/4831/4718/521/517/1854/516/51079/518/10632/522/4830/4715/506/9551/4717",18
"GO:1901293","GO:1901293","nucleoside phosphate biosynthetic process","18/292","297/18614",1.15207752101124e-06,9.69564187419457e-05,8.51771441434623e-05,"2023/204/6622/4831/4718/521/517/1854/516/51079/518/10632/522/4830/4715/506/9551/4717",18
"GO:0071826","GO:0071826","ribonucleoprotein complex subunit organization","16/292","239/18614",1.25631384336792e-06,0.000103017735156169,9.05020687705527e-05,"6175/3921/6633/6636/51065/23521/6209/6632/6635/6637/57819/6223/3326/6631/6628/10772",16
"GO:0097529","GO:0097529","myeloid leukocyte migration","16/292","241/18614",1.40185260969409e-06,0.00011148428992144,9.79400183668484e-05,"566/1511/6368/5478/928/4282/3146/2526/23521/5479/1652/6223/708/682/4267/5880",16
"GO:0072522","GO:0072522","purine-containing compound biosynthetic process","17/292","271/18614",1.43395871882405e-06,0.00011148428992144,9.79400183668484e-05,"2023/204/6622/4831/4718/521/517/516/51079/518/10632/522/4830/4715/506/9551/4717",17
"GO:0050829","GO:0050829","defense response to Gram-negative bacterium","10/292","90/18614",1.46414639671684e-06,0.00011148428992144,9.79400183668484e-05,"566/1511/1991/6037/3148/4069/29108/6039/6223/140823",10
"GO:1903241","GO:1903241","U2-type prespliceosome assembly","6/292","24/18614",1.5022032416031e-06,0.000111721999224342,9.81488482702248e-05,"6633/6636/6632/6635/6637/6628",6
"GO:0006123","GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","6/292","25/18614",1.95065499556957e-06,0.000141777151723443,0.000124552588114239,"1345/1351/1329/9377/1347/1337",6
"GO:0006959","GO:0006959","humoral immune response","16/292","250/18614",2.26325936396139e-06,0.000160842298798856,0.000141301502746502,"566/1511/1991/1675/2597/6037/648/3151/4069/6170/6039/6223/708/140823/2821/5777",16
"GO:0044403","GO:0044403","biological process involved in symbiotic interaction","18/292","313/18614",2.43123534542496e-06,0.000169023709449326,0.000148488950502041,"566/1511/1991/3956/8673/2597/5478/3146/3921/2934/5034/5479/1072/64710/3326/140823/156/682",18
"GO:0006165","GO:0006165","nucleoside diphosphate phosphorylation","10/292","102/18614",4.62074620893483e-06,0.000314407369705821,0.00027620989096634,"2023/2597/402/4831/7167/5223/4830/3939/2821/5315",10
"GO:0019730","GO:0019730","antimicrobial humoral response","11/292","126/18614",4.82176031223574e-06,0.000321249780802706,0.000282221014766605,"566/1511/1991/2597/6037/3151/4069/6170/6039/6223/140823",11
"GO:0046939","GO:0046939","nucleotide phosphorylation","10/292","104/18614",5.50819032178754e-06,0.000359493727532174,0.000315818688911943,"2023/2597/402/4831/7167/5223/4830/3939/2821/5315",10
"GO:0009132","GO:0009132","nucleoside diphosphate metabolic process","11/292","134/18614",8.73298999609756e-06,0.0005585620401504,0.000490702111570198,"2023/2597/204/402/4831/7167/5223/4830/3939/2821/5315",11
"GO:0060326","GO:0060326","cell chemotaxis","17/292","312/18614",9.4691386534828e-06,0.00059377069438898,0.000521633252139228,"566/1511/3219/6368/5478/3315/4282/3146/3148/23521/5872/5479/1652/6223/708/682/5880",17
"GO:0006401","GO:0006401","RNA catabolic process","17/292","319/18614",1.26397706763109e-05,0.000777345896593122,0.00068290582864522,"6036/6037/84153/4904/4869/7431/79621/6039/51690/23658/3182/57819/55603/6050/3184/23589/26135",17
"GO:0050900","GO:0050900","leukocyte migration","19/292","393/18614",1.55181358827433e-05,0.000936358463264397,0.000822599894161705,"566/1511/1991/6368/5478/928/4282/3146/2526/29108/23521/5479/6693/1652/6223/708/682/4267/5880",19
"GO:0046031","GO:0046031","ADP metabolic process","9/292","94/18614",1.68571325736629e-05,0.000998316851306922,0.000877030932536182,"2023/2597/204/402/7167/5223/3939/2821/5315",9
"GO:0070527","GO:0070527","platelet aggregation","8/292","73/18614",1.85130373013354e-05,0.0010764489689031,0.00094567074750745,"1511/5478/3315/928/71/1192/2316/5777",8
"GO:0034109","GO:0034109","homotypic cell-cell adhesion","9/292","97/18614",2.17397921387358e-05,0.00124149741535138,0.00109066739132116,"1511/5478/3315/928/71/1192/2316/5777/4267",9
"GO:1904667","GO:1904667","negative regulation of ubiquitin protein ligase activity","4/292","12/18614",2.65918636788378e-05,0.00149194350956006,0.00131068668806682,"6224/6167/6201/6209",4
"GO:0034655","GO:0034655","nucleobase-containing compound catabolic process","20/292","447/18614",2.82213946680777e-05,0.00155606931290539,0.00136702182158075,"6036/6037/84153/4904/4869/1854/7431/4521/3094/79621/6039/51690/23658/3182/57819/55603/6050/3184/23589/26135",20
"GO:0042255","GO:0042255","ribosome assembly","7/292","60/18614",4.12587073986002e-05,0.00223636180102921,0.00196466529967643,"6175/3921/51065/4869/6209/6223/708",7
"GO:0061844","GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","8/292","82/18614",4.34594822074457e-05,0.00227881071793095,0.00200195708046401,"1991/2597/6037/3151/6170/6039/6223/140823",8
"GO:0009135","GO:0009135","purine nucleoside diphosphate metabolic process","9/292","106/18614",4.4179569891094e-05,0.00227881071793095,0.00200195708046401,"2023/2597/204/402/7167/5223/3939/2821/5315",9
"GO:0009179","GO:0009179","purine ribonucleoside diphosphate metabolic process","9/292","106/18614",4.4179569891094e-05,0.00227881071793095,0.00200195708046401,"2023/2597/204/402/7167/5223/3939/2821/5315",9
"GO:1900024","GO:1900024","regulation of substrate adhesion-dependent cell spreading","7/292","61/18614",4.59884780346333e-05,0.002334462742139,0.00205084791770152,"5034/2316/81/708/10519/91663/6281",7
"GO:0016032","GO:0016032","viral process","19/292","426/18614",4.67420023774359e-05,0.0023356394312975,0.00205188165041738,"3956/8673/5478/3146/4774/3921/2934/5034/5901/8815/5479/1072/64710/3276/3326/7155/5725/156/682",19
"GO:0008380","GO:0008380","RNA splicing","20/292","466/18614",5.05570494455455e-05,0.00248740683272084,0.00218521076874755,"404266/3178/6633/6636/4904/6632/4154/6635/3276/6637/51690/23658/57819/708/6631/5725/6628/27258/4691/10772",20
"GO:0006122","GO:0006122","mitochondrial electron transport, ubiquinol to cytochrome c","4/292","14/18614",5.2456795486557e-05,0.00254177018130317,0.00223296949208326,"7388/27089/29796/7386",4
"GO:0006096","GO:0006096","glycolytic process","8/292","85/18614",5.634885942996e-05,0.00268960675308973,0.00236284533886195,"2023/2597/402/7167/5223/3939/2821/5315",8
"GO:0000377","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","16/292","325/18614",5.90269553142073e-05,0.00273577105934543,0.00240340112484545,"3178/6633/6636/6632/6635/6637/51690/23658/57819/708/6631/5725/6628/27258/4691/10772",16
"GO:0000398","GO:0000398","mRNA splicing, via spliceosome","16/292","325/18614",5.90269553142073e-05,0.00273577105934543,0.00240340112484545,"3178/6633/6636/6632/6635/6637/51690/23658/57819/708/6631/5725/6628/27258/4691/10772",16
"GO:1900026","GO:1900026","positive regulation of substrate adhesion-dependent cell spreading","6/292","44/18614",6.05376162987079e-05,0.00276083805684385,0.00242542272266095,"5034/2316/708/10519/91663/6281",6
"GO:0006757","GO:0006757","ATP generation from ADP","8/292","86/18614",6.12944033883405e-05,0.00276083805684385,0.00242542272266095,"2023/2597/402/7167/5223/3939/2821/5315",8
"GO:0051873","GO:0051873","killing by host of symbiont cells","5/292","28/18614",6.71013572737466e-05,0.00297290654601954,0.0026117269251592,"566/1511/1991/2597/140823",5
"GO:0000375","GO:0000375","RNA splicing, via transesterification reactions","16/292","329/18614",6.81921577831197e-05,0.00297290654601954,0.0026117269251592,"3178/6633/6636/6632/6635/6637/51690/23658/57819/708/6631/5725/6628/27258/4691/10772",16
"GO:0034101","GO:0034101","erythrocyte homeostasis","10/292","139/18614",6.94786984511169e-05,0.00297290654601954,0.0026117269251592,"6194/1021/6229/4602/93974/3148/6218/3276/6223/2821",10
"GO:0098760","GO:0098760","response to interleukin-7","4/292","15/18614",7.06506871474312e-05,0.00297290654601954,0.0026117269251592,"5034/4904/506/3068",4
"GO:0098761","GO:0098761","cellular response to interleukin-7","4/292","15/18614",7.06506871474312e-05,0.00297290654601954,0.0026117269251592,"5034/4904/506/3068",4
"GO:1990748","GO:1990748","cellular detoxification","9/292","115/18614",8.36835590228012e-05,0.00344526679900405,0.00302669993961417,"4353/7295/4056/2950/847/241/25824/2098/4259",9
"GO:0002262","GO:0002262","myeloid cell homeostasis","11/292","171/18614",8.40308975366842e-05,0.00344526679900405,0.00302669993961417,"6194/1021/6229/3146/4602/93974/3148/6218/3276/6223/2821",11
"GO:0009185","GO:0009185","ribonucleoside diphosphate metabolic process","9/292","116/18614",8.94948526130454e-05,0.00359643101223475,0.00315949915132963,"2023/2597/204/402/7167/5223/3939/2821/5315",9
"GO:0044270","GO:0044270","cellular nitrogen compound catabolic process","20/292","486/18614",8.99670046837962e-05,0.00359643101223475,0.00315949915132963,"6036/6037/84153/4904/4869/1854/7431/4521/3094/79621/6039/51690/23658/3182/57819/55603/6050/3184/23589/26135",20
"GO:0051014","GO:0051014","actin filament severing","4/292","16/18614",9.30408929516587e-05,0.00366481074827137,0.00321957140552855,"822/2934/1072/11034",4
"GO:1901798","GO:1901798","positive regulation of signal transduction by p53 class mediator","5/292","30/18614",9.48316940334902e-05,0.00366481074827137,0.00321957140552855,"6224/6167/6201/6209/7314",5
"GO:0046700","GO:0046700","heterocycle catabolic process","20/292","488/18614",9.51154759557611e-05,0.00366481074827137,0.00321957140552855,"6036/6037/84153/4904/4869/1854/7431/4521/3094/79621/6039/51690/23658/3182/57819/55603/6050/3184/23589/26135",20
"GO:0000245","GO:0000245","spliceosomal complex assembly","8/292","94/18614",0.00011542338419651,0.00439433312690998,0.00386046381479304,"6633/6636/6632/6635/6637/6631/6628/10772",8
"GO:0030595","GO:0030595","leukocyte chemotaxis","13/292","241/18614",0.000117929639358233,0.00443692925491328,0.0038978849219458,"566/1511/6368/5478/4282/3146/23521/5479/1652/6223/708/682/5880",13
"GO:0051348","GO:0051348","negative regulation of transferase activity","14/292","279/18614",0.000139550546843562,0.00513517580859555,0.00451130121890048,"5478/3315/6622/2950/6224/6167/5577/6201/4869/29108/6209/8815/29085/5777",14
"GO:0042742","GO:0042742","defense response to bacterium","15/292","314/18614",0.000139699904736652,0.00513517580859555,0.00451130121890048,"566/1511/1991/4353/6037/3148/4069/29108/6693/6170/6039/6223/140823/51316/2896",15
"GO:0043280","GO:0043280","positive regulation of cysteine-type endopeptidase activity involved in apoptotic process","9/292","124/18614",0.000149382324659744,0.0053676929692344,0.00471556977548027,"6622/3146/6188/2934/51065/29108/51079/10541/3336",9
"GO:0097237","GO:0097237","cellular response to toxic substance","9/292","124/18614",0.000149382324659744,0.0053676929692344,0.00471556977548027,"4353/7295/4056/2950/847/241/25824/2098/4259",9
"GO:0098869","GO:0098869","cellular oxidant detoxification","8/292","99/18614",0.000165942705278879,0.00589649746090949,0.00518012959519681,"4353/7295/4056/2950/847/241/25824/4259",8
"GO:0019058","GO:0019058","viral life cycle","15/292","320/18614",0.000171759827807645,0.00603613109152583,0.00530279907945177,"3956/8673/5478/3146/4774/3921/2934/5034/8815/5479/64710/3326/7155/156/682",15
"GO:0034446","GO:0034446","substrate adhesion-dependent cell spreading","8/292","100/18614",0.000177957283754153,0.00618594992875849,0.00543441636544433,"5034/29780/2316/81/708/10519/91663/6281",8
"GO:0000028","GO:0000028","ribosomal small subunit assembly","4/292","19/18614",0.000190923182062479,0.00656529393801943,0.00576767371731472,"3921/51065/6209/6223",4
"GO:0016072","GO:0016072","rRNA metabolic process","13/292","257/18614",0.000222372332283746,0.007508026665475,0.00659587346372824,"11224/6194/6202/6229/6201/6129/6209/6218/2971/6223/5036/51504/4691",13
"GO:0032271","GO:0032271","regulation of protein polymerization","11/292","191/18614",0.000223033937842441,0.007508026665475,0.00659587346372824,"6622/822/402/51673/6188/2934/29108/3925/2242/5216/91663",11
"GO:0001906","GO:0001906","cell killing","11/292","197/18614",0.000291218628777052,0.00970122057113553,0.00852261535313543,"566/1511/1991/2597/4818/3151/4069/6223/140823/5777/203068",11
"GO:1902903","GO:1902903","regulation of supramolecular fiber organization","16/292","376/18614",0.000313612347648203,0.0103395081214325,0.0090833570903207,"6622/822/402/6188/71/2934/29108/3925/2316/2242/5216/10519/91663/6050/11034/6281",16
"GO:0048872","GO:0048872","homeostasis of number of cells","14/292","304/18614",0.000336787467264674,0.0108859010129035,0.00956336848801535,"6194/4282/1021/6229/3146/4602/93974/2322/3148/6218/3276/6223/2821/1831",14
"GO:2000116","GO:2000116","regulation of cysteine-type endopeptidase activity","12/292","234/18614",0.000340766680375643,0.0108859010129035,0.00956336848801535,"6622/3146/6188/2934/51065/29108/25824/51079/2821/10541/3336/1471",12
"GO:0045730","GO:0045730","respiratory burst","5/292","39/18614",0.000341430821758907,0.0108859010129035,0.00956336848801535,"4353/5223/6223/5880/2896",5
"GO:0032069","GO:0032069","regulation of nuclease activity","4/292","22/18614",0.000347205097972532,0.0108859010129035,0.00956336848801535,"3146/6188/3148/4869",4
"GO:0051444","GO:0051444","negative regulation of ubiquitin-protein transferase activity","4/292","22/18614",0.000347205097972532,0.0108859010129035,0.00956336848801535,"6224/6167/6201/6209",4
"GO:0006397","GO:0006397","mRNA processing","19/292","500/18614",0.00036838900590783,0.0114379421445946,0.0100483419189371,"404266/3178/6633/6636/4904/6632/4154/6635/6637/51690/23658/57819/708/6631/5725/6628/27258/4691/10772",19
"GO:0031397","GO:0031397","negative regulation of protein ubiquitination","7/292","85/18614",0.000377878627867963,0.0116058737915694,0.0101958714820772,"5478/6224/6188/6167/6201/6209/706",7
"GO:0046456","GO:0046456","icosanoid biosynthetic process","6/292","61/18614",0.000381055893719446,0.0116058737915694,0.0101958714820772,"4056/4282/2171/29108/241/4259",6
"GO:0006090","GO:0006090","pyruvate metabolic process","8/292","112/18614",0.000386868685204029,0.011671755238514,0.0102537489653382,"2023/2597/402/7167/5223/3939/2821/5315",8
"GO:0043281","GO:0043281","regulation of cysteine-type endopeptidase activity involved in apoptotic process","11/292","204/18614",0.000392209291111678,0.0117222926446275,0.0102981465615058,"6622/3146/6188/2934/51065/29108/25824/51079/2821/10541/3336",11
"GO:2001056","GO:2001056","positive regulation of cysteine-type endopeptidase activity","9/292","142/18614",0.000411682425524178,0.0121903740446881,0.0107093605626124,"6622/3146/6188/2934/51065/29108/51079/10541/3336",9
"GO:2001242","GO:2001242","regulation of intrinsic apoptotic signaling pathway","10/292","173/18614",0.000415659543069088,0.0121952221902288,0.0107136197049869,"2023/5478/3315/4282/6188/5034/6201/29108/51079/7314",10
"GO:0032070","GO:0032070","regulation of deoxyribonuclease activity","3/292","10/18614",0.000422544837315617,0.0122845308157758,0.0107920781894295,"3146/6188/4869",3
"GO:0098754","GO:0098754","detoxification","9/292","144/18614",0.000456073511306517,0.0131398476500742,0.0115434822349653,"4353/7295/4056/2950/847/241/25824/2098/4259",9
"GO:0001510","GO:0001510","RNA methylation","7/292","90/18614",0.000535233572657165,0.0152828300478358,0.0134261128329133,"6633/6636/6632/6635/6637/51504/6628",7
"GO:0050830","GO:0050830","defense response to Gram-positive bacterium","8/292","118/18614",0.000549055009645745,0.0154024379021675,0.0135311894805586,"1511/6037/3148/4069/29108/6170/6039/140823",8
"GO:0051702","GO:0051702","biological process involved in interaction with symbiont","8/292","118/18614",0.000549055009645745,0.0154024379021675,0.0135311894805586,"566/1511/1991/2597/5479/1072/64710/140823",8
"GO:0070944","GO:0070944","neutrophil-mediated killing of bacterium","3/292","11/18614",0.000574268133726031,0.0159696477535291,0.014029488777252,"566/1511/1991",3
"GO:0030219","GO:0030219","megakaryocyte differentiation","6/292","66/18614",0.000584097455781035,0.0161029626171358,0.0141466071640615,"4602/3148/2316/3276/10519/5777",6
"GO:0031647","GO:0031647","regulation of protein stability","14/292","322/18614",0.000596879094026187,0.0163146952367158,0.0143326163018974,"2597/404266/4000/6622/2934/10169/6201/29108/5479/22848/2316/5216/3326/2896",14
"GO:0045785","GO:0045785","positive regulation of cell adhesion","18/292","482/18614",0.000641255930163468,0.0173791225818879,0.0152677259376119,"566/1511/1991/3956/648/402/1021/3146/2526/6188/5034/29108/2316/708/10519/91663/5777/6281",18
"GO:1900542","GO:1900542","regulation of purine nucleotide metabolic process","7/292","93/18614",0.000652177147419871,0.0175265757768802,0.0153972649841985,"2023/6622/402/93974/4718/5223/706",7
"GO:0006364","GO:0006364","rRNA processing","11/292","218/18614",0.000683663030370222,0.0181075167309811,0.0159076271863956,"11224/6194/6202/6229/6201/6129/6209/6218/6223/5036/51504",11
"GO:0006140","GO:0006140","regulation of nucleotide metabolic process","7/292","94/18614",0.000695364231817154,0.0181075167309811,0.0159076271863956,"2023/6622/402/93974/4718/5223/706",7
"GO:0010952","GO:0010952","positive regulation of peptidase activity","10/292","185/18614",0.000702105089006145,0.0181075167309811,0.0159076271863956,"6622/3146/6188/2934/51065/29108/51079/10541/2896/3336",10
"GO:0032640","GO:0032640","tumor necrosis factor production","10/292","185/18614",0.000702105089006145,0.0181075167309811,0.0159076271863956,"566/3315/4282/2950/3146/29108/6693/1652/706/5777",10
"GO:0032680","GO:0032680","regulation of tumor necrosis factor production","10/292","185/18614",0.000702105089006145,0.0181075167309811,0.0159076271863956,"566/3315/4282/2950/3146/29108/6693/1652/706/5777",10
"GO:0006457","GO:0006457","protein folding","11/292","220/18614",0.00073718119639219,0.0186629013819843,0.0163955379311136,"5478/3315/402/5034/81611/5479/64215/3326/2896/3336/7184",11
"GO:0048704","GO:0048704","embryonic skeletal system morphogenesis","7/292","95/18614",0.000740785980721618,0.0186629013819843,0.0163955379311136,"3217/3205/3219/860/3218/3213/648",7
"GO:0050729","GO:0050729","positive regulation of inflammatory response","9/292","154/18614",0.000741147115544718,0.0186629013819843,0.0163955379311136,"3956/8673/4818/6622/29108/241/1652/6223/2896",9
"GO:0070943","GO:0070943","neutrophil-mediated killing of symbiont cell","3/292","12/18614",0.00075682689040843,0.0189088468400481,0.0166116033758232,"566/1511/1991",3
"GO:1904666","GO:1904666","regulation of ubiquitin protein ligase activity","4/292","27/18614",0.000783186674281779,0.019386633825873,0.017031343827147,"6224/6167/6201/6209",4
"GO:1903312","GO:1903312","negative regulation of mRNA metabolic process","7/292","96/18614",0.00078852372234548,0.019386633825873,0.017031343827147,"4904/3182/708/5725/55603/3184/10772",7
